key_name,healthy,failure_count,last_failure_ts,last_error_type,backoff_until,disabled_manually,backoff_seconds,updated_ts
ollama_cloud,0,2,1787390456.9924173,exhausted,1787390460.9924173,0,4,1787390456.9925456
telnyx,1,0,0.0,,0.0,0,0,1787423759.477728
friend,1,0,1787231086.4016237,,,0,0,1787437463.795902
ours,0,7,1787438984.5638518,exhausted,1787439044.5638518,0,60,1787438984.5639615
ollama_cloud_2,1,0,0.0,,0.0,0,0,1787438988.4240901
opencode_go,0,1,1787438866.1503232,dead,1787442466.1503232,0,3600,1787438866.1504054
