id,ts,provider,model,rate_per_m,source,is_measured,confidence,sample_tokens,sample_cost_usd,velocity,note
6463,1786945802.920128,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6464,1786945802.9220479,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6465,1786945802.6569152,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6466,1786945802.6569152,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6467,1786946101.7447703,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6468,1786946101.7646706,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6469,1786946102.0111058,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6470,1786946102.0111058,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6471,1786946102.0111058,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6472,1786946102.0111058,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6473,1786946102.0111058,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6474,1786946102.013224,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6475,1786946101.7447674,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6476,1786946101.7447674,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6477,1786946402.7282884,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6478,1786946402.7719235,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6479,1786946403.20458,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6480,1786946403.20458,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6481,1786946403.20458,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6482,1786946403.20458,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6483,1786946403.20458,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6484,1786946403.209831,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6485,1786946402.728285,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6486,1786946402.728285,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6487,1786946701.8320642,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6488,1786946701.8523538,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6489,1786946702.0932815,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6490,1786946702.0932815,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6491,1786946702.0932815,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6492,1786946702.0932815,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6493,1786946702.0932815,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6494,1786946702.0953116,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6495,1786946701.832062,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6496,1786946701.832062,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6497,1786947002.6966324,friend,,0.001,zai_amortized,0,0.7,692403319,0.0,0.0,
6498,1786947002.733542,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6499,1786947003.0420249,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6500,1786947003.0420249,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6501,1786947003.0420249,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6502,1786947003.0420249,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6503,1786947003.0420249,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6504,1786947003.043897,openrouter,,0.4652591071530124,openrouter_actual,1,1.0,13152892,6.119502788399999,0.0,
6505,1786947002.6966295,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6506,1786947002.6966295,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
