model,n,p50,p90,mean,max,first_ts,last_ts
deepseek/deepseek-v4-flash,1618,57454.0,76558.8,50025.66069221261,105187.0,1786631542.629058,1787409217.715978
glm-4.5-flash,1182,33596.5,76565.7,38771.23942470389,114680.0,1786799035.4270263,1787409324.1010191
glm-5.2,35821,59339.0,108335.0,61018.54152592055,200825.0,1786554176.0821204,1787409345.3373618
glm-5.3,10345,58005.0,94706.6,55619.48303528275,156050.0,1786710730.2650685,1787409333.0790906
kimi-k2.7-code,2186,58310.0,100749.0,60068.70677035682,141838.0,1786554651.5236402,1787261328.296811
moonshotai/Kimi-K2.5,1135,48301.0,93921.8,52810.622907488985,131195.0,1786629957.4170525,1787390967.0542912
moonshotai/Kimi-K3,4439,51212.0,86416.0,54738.425771570175,141029.0,1786554645.0713224,1787262548.8085604
qwen3.5:397b,1,34.0,34.0,34.0,34.0,1787246594.8317523,1787246594.8317523
