id,ts,provider,response_received,response_valid,latency_ms,error_type,billed_tokens,actual_tokens,token_mismatch,model
72,2026-08-14T12:39:56.228397+00:00,friend,1,1,2350,none,21,8,1,glm-5.2
73,2026-08-14T12:40:24.175690+00:00,friend,0,0,213,no_response,0,0,0,
74,2026-08-14T12:40:24.190326+00:00,friend,0,0,4,no_response,0,0,0,
75,2026-08-14T12:40:24.199648+00:00,friend,0,0,4,no_response,0,0,0,
76,2026-08-14T12:40:24.208899+00:00,friend,0,0,5,no_response,0,0,0,
77,2026-08-14T12:40:24.216880+00:00,friend,0,0,4,no_response,0,0,0,
78,2026-08-14T12:40:24.224453+00:00,friend,0,0,4,no_response,0,0,0,
79,2026-08-14T12:40:24.246279+00:00,friend,0,0,4,no_response,0,0,0,
80,2026-08-14T12:40:24.672413+00:00,friend,0,0,4,no_response,0,0,0,
81,2026-08-14T12:40:24.690468+00:00,friend,0,0,3,no_response,0,0,0,
82,2026-08-14T12:40:24.697024+00:00,friend,0,0,3,no_response,0,0,0,
83,2026-08-14T12:40:24.702948+00:00,friend,0,0,2,no_response,0,0,0,
84,2026-08-14T12:40:24.708194+00:00,friend,0,0,2,no_response,0,0,0,
85,2026-08-14T12:40:24.715435+00:00,friend,0,0,3,no_response,0,0,0,
86,2026-08-14T12:40:24.730417+00:00,friend,0,0,3,no_response,0,0,0,
87,2026-08-14T12:40:24.750905+00:00,friend,0,0,3,no_response,0,0,0,
88,2026-08-14T12:40:24.756868+00:00,friend,0,0,2,no_response,0,0,0,
89,2026-08-14T12:40:24.768389+00:00,friend,0,0,4,no_response,0,0,0,
90,2026-08-14T12:40:24.776831+00:00,friend,0,0,4,no_response,0,0,0,
91,2026-08-14T12:40:24.786756+00:00,friend,0,0,4,no_response,0,0,0,
92,2026-08-14T12:40:37.444669+00:00,friend,1,1,11415,none,369,0,0,glm-5.3
93,2026-08-14T12:40:57.689758+00:00,friend,1,1,14724,none,767,23,1,glm-5.3
94,2026-08-14T12:40:58.030946+00:00,friend,0,0,192,no_response,0,0,0,
95,2026-08-14T12:40:58.040407+00:00,friend,0,0,4,no_response,0,0,0,
96,2026-08-14T12:40:58.048292+00:00,friend,0,0,3,no_response,0,0,0,
97,2026-08-14T12:40:58.056659+00:00,friend,0,0,3,no_response,0,0,0,
98,2026-08-14T12:40:58.064876+00:00,friend,0,0,4,no_response,0,0,0,
