date,tier,spend_usd,call_count,token_count
2026-08-12,ollama_cloud,0.8373742629999997,884,54024146
2026-08-12,unknown,0.000138,1,138
2026-08-13,ollama_cloud,0.0,3831,239793393
2026-08-13,unknown,0.0,81,2742762
2026-08-13,telnyx,0.0016875,89,4742726
2026-08-13,telnyx_test,0.0,1,200
2026-08-13,ppq,0.47887222600000023,306,10484550
2026-08-14,ppq,1.560140082458543,266,11070305
2026-08-14,telnyx,1524.4280089429317,7385,431859713
2026-08-14,openrouter,1.1885851144200004,70,1864488
2026-08-14,friend,0.16181011300000026,6841,161810113
2026-08-15,friend,0.2797849289999999,11454,279784929
2026-08-15,telnyx,29.07856515557741,219,9324638
2026-08-15,openrouter,1.7156882863999996,78,3997907
2026-08-16,friend,0.20951241900000017,8879,209512419
2026-08-16,telnyx,2.4648079957840467,25,633491
2026-08-16,openrouter,3.0103126935799995,121,6929935
2026-08-17,friend,0.22820643099999982,9366,228206431
2026-08-17,telnyx,55.29865791135045,173,8731767
2026-08-17,openrouter,0.204916694,28,360562
2026-08-17,ollama_cloud,1.0322460290000002,1049,66596518
2026-08-18,friend,0.09441188000000023,5363,94411880
2026-08-18,telnyx,0.6413201935939982,4,111685
2026-08-18,ollama_cloud,1.7448868629999967,2283,112573346
2026-08-19,friend,0.010203322000000004,1337,10203322
2026-08-19,ollama_cloud,3.675319033500001,3737,237117357
2026-08-19,telnyx,0.014589968155992152,1,8421
2026-08-19,openrouter,1.5828796154000009,645,38058191
2026-08-19,ppq,0.0050858472,1,61186
2026-08-20,openrouter,1.4626323498643994,764,41359117
2026-08-20,ollama_cloud,8.198992390499948,9461,528967251
2026-08-20,friend,0.0,1156,0
2026-08-20,telnyx,377.14376740478775,462,23673838
2026-08-20,ppq,0.004075113988400001,3,205082
2026-08-20,ours,0.0021826370000000003,1680,36196429
2026-08-21,ollama_cloud,1.1873708039999997,1269,76604568
2026-08-21,ours,0.0,9694,233320113
2026-08-21,routstrd,0.014147154871778277,162,19353803
2026-08-21,telnyx,5.194978627750628,56,1899679
2026-08-22,ours,0.0,5164,120177438
2026-08-22,routstrd,0.05950009923643407,1298,75869154
2026-08-22,telnyx,0.05581853829728591,107,4291799
2026-08-22,openrouter,25.12241174640793,1977,108437619
2026-08-22,routstr,0.000795,1,795
2026-08-23,openrouter,0.5142558065239999,52,2088934
2026-08-23,ours,0.00012315,1125,2004651
2026-08-23,telnyx,0.026500430000000002,1,15409
2026-08-23,unknown,13.326252000000007,258,13326252
2026-08-23,routstrd,0.00015332339518000002,3,198974
