date,spend_usd,requests,tokens,storm_blocked,hour_requests,last_ts
2026-08-15,0.0,0,0,9,{},0.0
2026-08-16,0.0,0,0,43,{},0.0
2026-08-17,0.0,0,0,248,{},0.0
2026-08-18,0.0,0,0,84,{},0.0
2026-08-19,0.0050858472,1,61186,2536,"{""2026-08-19T09"": 1}",1787130677.1623888
2026-08-20,0.004075113988400001,3,205082,6026,"{""2026-08-20T09"": 3}",1787216923.7627056
