id,ts,provider_used,effective_price,next_best_price,savings_per_1m,estimated_tokens,estimated_savings_usd,is_peak_hour,mode
1,1786712621.3548803,openrouter,0.9675,2.26825,1.30075,66252,0.086177289,0,consumer
2,1786713128.619112,openrouter,0.9675,1.3,0.3325,60885,0.020244262500000002,0,consumer
3,1786713154.279438,openrouter,0.9675,1.3,0.3325,35092,0.01166809,0,consumer
4,1786714552.1927688,openrouter,0.9675,0.9771750000000001,0.0096750000000001,8362,8.090235000000084e-05,0,consumer
5,1786714777.6171484,openrouter,0.9675,2.15,1.1824999999999999,75533,0.08931777249999999,0,consumer
6,1786715014.3086767,openrouter,0.9675,2.15,1.1824999999999999,49837,0.0589322525,0,consumer
7,1786716088.5325296,openrouter,0.9675,2.15,1.1824999999999999,67019,0.0792499675,0,consumer
8,1786716109.6802986,openrouter,0.9675,2.15,1.1824999999999999,129804,0.15349322999999998,0,consumer
9,1786716141.2814858,openrouter,0.9675,2.15,1.1824999999999999,67003,0.07923104749999998,0,consumer
10,1786716141.670518,openrouter,0.9675,0.9771750000000001,0.0096750000000001,80532,0.0007791471000000081,0,consumer
11,1786716156.1509545,openrouter,0.9675,2.15,1.1824999999999999,67331,0.07961890749999999,0,consumer
12,1786716168.2384439,openrouter,0.9675,2.15,1.1824999999999999,31154,0.036839605,0,consumer
13,1786716175.300099,openrouter,0.9675,2.15,1.1824999999999999,129862,0.15356181499999996,0,consumer
14,1786716176.4789095,openrouter,0.9675,2.15,1.1824999999999999,24207,0.028624777499999997,0,consumer
15,1786716185.7607858,openrouter,0.9675,2.15,1.1824999999999999,67944,0.08034378,0,consumer
16,1786716186.4296849,openrouter,0.9675,2.15,1.1824999999999999,24205,0.0286224125,0,consumer
17,1786716236.8415182,openrouter,0.9675,2.15,1.1824999999999999,82390,0.09742617499999999,0,consumer
18,1786716395.2694576,openrouter,0.9675,2.15,1.1824999999999999,25457,0.030102902499999997,0,consumer
19,1786716401.3297808,openrouter,0.9675,2.15,1.1824999999999999,142075,0.16800368749999997,0,consumer
20,1786716444.3267038,openrouter,0.9675,2.15,1.1824999999999999,7113,0.0084111225,0,consumer
21,1786716454.462949,openrouter,0.9675,2.15,1.1824999999999999,45081,0.05330828249999999,0,consumer
22,1786717875.1318638,telnyx,0.215,0.532125,0.317125,7464,0.0023670209999999995,0,consumer
23,1786717993.3898268,telnyx,0.215,0.532125,0.317125,8536,0.002706979,0,consumer
24,1786721565.3724751,telnyx,0.2743637583463758,0.9675,0.6931362416536242,9583,0.0066423246037666805,0,consumer
25,1786721575.6166816,telnyx,0.2743637583463758,0.9675,0.6931362416536242,57234,0.03967095965480352,0,consumer
26,1786723360.3437219,openrouter,0.9675,1.005125,0.03762500000000002,117505,0.004421125625000002,0,consumer
27,1786723369.2842214,openrouter,0.9675,1.005125,0.03762500000000002,50730,0.0019087162500000011,0,consumer
28,1786723388.4951108,openrouter,0.9675,1.005125,0.03762500000000002,24339,0.0009157548750000005,0,consumer
29,1786723432.2798672,openrouter,0.9675,1.005125,0.03762500000000002,8348,0.00031409350000000016,0,consumer
30,1786791758.6777022,telnyx,0.36854793795548535,0.413875,0.04532706204451464,115254,0.0052241252088784905,0,consumer
31,1786791797.8877585,telnyx,0.36854793795548535,0.413875,0.04532706204451464,140884,0.006385857809079401,0,consumer
32,1786793621.2487614,openrouter,0.9675,1.017663512178398,0.05016351217839787,61101,0.0030650407576122882,0,consumer
33,1786795465.318671,openrouter,0.9675,1.017663512178398,0.05016351217839787,12681,0.0006361234979342634,0,consumer
34,1786795471.0920439,openrouter,0.9675,1.017663512178398,0.05016351217839787,149766,0.007512788564909936,0,consumer
35,1786795483.9252162,openrouter,0.9675,1.017663512178398,0.05016351217839787,99295,0.004980985941754016,0,consumer
36,1786795501.0257928,openrouter,0.9675,1.017663512178398,0.05016351217839787,67474,0.003384732820725218,0,consumer
37,1786795535.579572,openrouter,0.9675,1.017663512178398,0.05016351217839787,66798,0.003350822286492621,0,consumer
38,1786799015.2093186,openrouter,0.9675,1.3,0.3325,145942,0.048525715000000004,0,consumer
39,1786799029.799405,openrouter,0.9675,1.3,0.3325,66159,0.0219978675,0,consumer
40,1786800766.1227105,telnyx,0.215,0.39022500000000004,0.17522500000000005,43129,0.007557279025000001,0,consumer
41,1786800766.4568863,telnyx,0.215,0.39022500000000004,0.17522500000000005,53968,0.009456542800000002,0,consumer
42,1786800782.357451,telnyx,0.215,0.39022500000000004,0.17522500000000005,56860,0.009963293500000003,0,consumer
43,1786802092.4694047,openrouter,0.9675,1.3,0.3325,24126,0.008021895000000001,0,consumer
44,1786802096.785973,openrouter,0.9675,1.3,0.3325,24119,0.0080195675,0,consumer
45,1786802168.0336788,openrouter,0.9675,1.3,0.3325,76502,0.025436915,0,consumer
46,1786802279.9936137,openrouter,0.9675,1.3,0.3325,58191,0.0193485075,0,consumer
47,1786802350.2476096,openrouter,0.9675,1.3,0.3325,31746,0.010555545,0,consumer
48,1786802352.106567,openrouter,0.9675,1.3,0.3325,22372,0.00743869,0,consumer
49,1786802411.1403077,openrouter,0.9675,1.3,0.3325,54129,0.0179978925,0,consumer
50,1786802428.8773417,openrouter,0.9675,1.6751938438686529,0.7076938438686529,83063,0.05878317375326191,0,consumer
51,1786802459.324903,openrouter,0.9675,1.6751938438686529,0.7076938438686529,50709,0.03588644712873552,0,consumer
52,1786802485.562406,openrouter,0.9675,1.6751938438686529,0.7076938438686529,58821,0.04162725959019803,0,consumer
53,1786802508.3687727,openrouter,0.9675,1.6751938438686529,0.7076938438686529,83675,0.05921628238570953,0,consumer
54,1786802522.793329,openrouter,0.9675,1.6751938438686529,0.7076938438686529,64174,0.04541554473642693,0,consumer
55,1786802663.1455905,openrouter,0.9675,1.6751938438686529,0.7076938438686529,24113,0.017064621657204824,0,consumer
56,1786802690.1249356,openrouter,0.9675,1.6751938438686529,0.7076938438686529,54301,0.038428483415911714,0,consumer
57,1786802691.3381505,openrouter,0.9675,1.6751938438686529,0.7076938438686529,24117,0.0170674524325803,0,consumer
58,1786802700.8877366,openrouter,0.9675,1.6751938438686529,0.7076938438686529,50903,0.03602373973444603,0,consumer
59,1786802704.8193474,openrouter,0.9675,1.6751938438686529,0.7076938438686529,40774,0.02885550878990045,0,consumer
60,1786802720.3220353,openrouter,0.9675,1.6751938438686529,0.7076938438686529,44564,0.031537668458162645,0,consumer
61,1786802721.400223,openrouter,0.9675,1.6751938438686529,0.7076938438686529,71387,0.050520140432251524,0,consumer
62,1786802737.0005343,openrouter,0.9675,1.6751938438686529,0.7076938438686529,65964,0.04668231671695182,0,consumer
63,1786802758.2673528,openrouter,0.9675,1.3,0.3325,44918,0.014935235,0,consumer
64,1786802877.3854697,openrouter,0.9675,1.3,0.3325,47884,0.01592143,0,consumer
65,1786802886.8776333,openrouter,0.9675,1.3,0.3325,44859,0.0149156175,0,consumer
66,1786803376.1879723,openrouter,0.9675,1.3,0.3325,24111,0.0080169075,0,consumer
67,1786803376.2307372,openrouter,0.9675,1.3,0.3325,56587,0.018815177500000002,0,consumer
68,1786803379.3216944,openrouter,0.9675,1.3,0.3325,24122,0.008020565,0,consumer
69,1786803475.5784774,openrouter,0.9675,1.3,0.3325,25789,0.0085748425,0,consumer
70,1786803516.930761,openrouter,0.9675,1.3,0.3325,62026,0.020623645,0,consumer
71,1786803700.0150294,openrouter,0.9675,1.3,0.3325,62224,0.02068948,0,consumer
72,1786803962.7364333,openrouter,0.9675,1.3,0.3325,59976,0.01994202,0,consumer
73,1786803963.032062,openrouter,0.9675,1.3,0.3325,7504,0.0024950799999999998,0,consumer
74,1786803964.9015484,openrouter,0.9675,1.3,0.3325,19662,0.006537615000000001,0,consumer
75,1786804064.3146982,openrouter,0.9675,1.3,0.3325,21220,0.00705565,0,consumer
76,1786804075.8056903,openrouter,0.9675,1.3,0.3325,59775,0.0198751875,0,consumer
77,1786804222.8267176,openrouter,0.9675,1.3,0.3325,37596,0.01250067,0,consumer
78,1786804323.3674493,openrouter,0.9675,1.3,0.3325,9557,0.0031777025000000003,0,consumer
79,1786804343.4470448,openrouter,0.9675,1.3,0.3325,44428,0.014772310000000002,0,consumer
80,1786804349.6691582,openrouter,0.9675,1.3,0.3325,48894,0.016257255,0,consumer
81,1786804643.9893262,openrouter,0.9675,1.3,0.3325,50757,0.0168767025,0,consumer
82,1786804734.0994911,openrouter,0.9675,1.3,0.3325,66965,0.022265862500000004,0,consumer
83,1786804911.3007905,openrouter,0.9675,1.3,0.3325,24107,0.008015577500000001,0,consumer
84,1786805065.6035798,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
85,1786805106.3182728,openrouter,0.9675,1.3,0.3325,49766,0.016547195,0,consumer
86,1786806182.0335574,openrouter,0.9675,1.3,0.3325,72718,0.024178735,0,consumer
87,1786806187.3286583,openrouter,0.9675,1.3,0.3325,46781,0.0155546825,0,consumer
88,1786806210.0043774,openrouter,0.9675,1.3,0.3325,113883,0.0378660975,0,consumer
89,1786806221.3638976,openrouter,0.9675,1.3,0.3325,25035,0.0083241375,0,consumer
90,1786806327.328825,openrouter,0.9675,1.3,0.3325,64064,0.021301280000000002,0,consumer
91,1786806328.1881092,openrouter,0.9675,1.3,0.3325,72355,0.0240580375,0,consumer
92,1786806529.4142194,openrouter,0.9675,1.3,0.3325,33367,0.0110945275,0,consumer
93,1786807732.0528128,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
94,1786808000.700482,openrouter,0.9675,1.3,0.3325,58440,0.0194313,0,consumer
95,1786808000.8929458,openrouter,0.9675,1.3,0.3325,52890,0.017585925,0,consumer
96,1786809756.4293098,telnyx,0.215,0.39022500000000004,0.17522500000000005,44800,0.007850080000000002,0,consumer
97,1786809775.9411914,telnyx,0.215,0.39022500000000004,0.17522500000000005,51804,0.009077355900000002,0,consumer
98,1786810027.9302983,telnyx,0.215,0.39022500000000004,0.17522500000000005,54541,0.009556946725000003,0,consumer
99,1786811139.878143,openrouter,0.9675,1.3,0.3325,13590,0.004518675,0,consumer
100,1786811262.4137452,openrouter,0.9675,2.180939840452437,1.213439840452437,64199,0.07790162431720599,0,consumer
101,1786811267.6437604,openrouter,0.9675,2.180939840452437,1.213439840452437,27459,0.03331984457898347,0,consumer
102,1786811598.8569517,openrouter,0.9675,1.3,0.3325,59567,0.0198060275,0,consumer
103,1786811599.752655,openrouter,0.9675,1.3,0.3325,45334,0.015073555,0,consumer
104,1786811850.4457357,openrouter,0.9675,2.180939840452437,1.213439840452437,35795,0.04343507908899498,0,consumer
105,1786811878.3449495,openrouter,0.9675,2.180939840452437,1.213439840452437,11139,0.013516506382799694,0,consumer
106,1786811879.8924184,openrouter,0.9675,2.180939840452437,1.213439840452437,35666,0.04327854534957661,0,consumer
107,1786812000.4820018,openrouter,0.9675,2.180939840452437,1.213439840452437,38661,0.04691279767173166,0,consumer
108,1786812003.6061773,openrouter,0.9675,2.180939840452437,1.213439840452437,38612,0.04685333911954949,0,consumer
109,1786812385.8494081,openrouter,0.9675,1.3,0.3325,65152,0.02166304,0,consumer
110,1786813037.9465635,openrouter,0.9675,1.3,0.3325,24252,0.008063790000000001,0,consumer
111,1786813043.4645002,openrouter,0.9675,1.3,0.3325,42241,0.014045132500000002,0,consumer
112,1786813045.722639,openrouter,0.9675,1.3,0.3325,24124,0.00802123,0,consumer
113,1786813230.9942045,openrouter,0.9675,1.3,0.3325,90378,0.030050685,0,consumer
114,1786813411.4789753,openrouter,0.9675,1.3,0.3325,69139,0.022988717500000002,0,consumer
115,1786813411.5162303,openrouter,0.9675,1.3,0.3325,63969,0.0212696925,0,consumer
116,1786813416.9955266,openrouter,0.9675,1.3,0.3325,92096,0.03062192,0,consumer
117,1786813421.4490333,openrouter,0.9675,1.3,0.3325,47308,0.015729910000000003,0,consumer
118,1786816614.4328427,telnyx,0.215,0.39022500000000004,0.17522500000000005,35253,0.006177206925000001,0,consumer
119,1786816618.407264,telnyx,0.215,0.39022500000000004,0.17522500000000005,39336,0.006892650600000002,0,consumer
120,1786816623.1979203,telnyx,0.215,0.39022500000000004,0.17522500000000005,39655,0.006948547375000002,0,consumer
121,1786816776.1144023,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
122,1786817010.2326095,telnyx,0.9036737033234282,0.9675,0.0638262966765718,47907,0.0030577263948845254,0,consumer
123,1786817013.186214,telnyx,0.9036737033234282,0.9675,0.0638262966765718,41511,0.0026494934013411723,0,consumer
124,1786817811.2596705,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
125,1786823832.194064,openrouter,0.9675,1.3,0.3325,107483,0.0357380975,0,consumer
126,1786825254.4439662,openrouter,0.9675,1.3,0.3325,27565,0.009165362500000001,0,consumer
127,1786825492.391085,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
128,1786825803.3727384,openrouter,0.9675,1.3,0.3325,95539,0.0317667175,0,consumer
129,1786825941.4537086,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
130,1786826250.688472,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
131,1786826258.5835667,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
132,1786826475.4395118,openrouter,0.9,0.4,0.0,0,0.0,0,consumer
133,1786826911.6021333,openrouter,0.9675,1.3,0.3325,91676,0.03048227,0,consumer
134,1786827750.5604234,telnyx,0.8866508957376231,0.9675,0.0808491042623769,14800,0.0011965667430831781,0,consumer
135,1786827875.7671936,telnyx,0.8866508957376231,0.9675,0.0808491042623769,15795,0.0012770116018242432,0,consumer
136,1786828087.2943141,telnyx,0.8866508957376231,0.9675,0.0808491042623769,70364,0.005688866372317889,0,consumer
137,1786828093.1516194,telnyx,0.8866508957376231,0.9675,0.0808491042623769,26139,0.00211331473631427,0,consumer
138,1786828093.1526554,telnyx,0.8866508957376231,0.9675,0.0808491042623769,70933,0.0057348695126431815,0,consumer
139,1786828095.971143,telnyx,0.8866508957376231,0.9675,0.0808491042623769,71282,0.00576308585003075,0,consumer
140,1786828099.1757357,telnyx,0.8866508957376231,0.9675,0.0808491042623769,26530,0.0021449267360808596,0,consumer
141,1786828099.4393857,telnyx,0.8866508957376231,0.9675,0.0808491042623769,72714,0.005878861767334475,0,consumer
