id,ts,inter_arrival,consecutive,wait_used,source
1,1786711991.5703456,,1,,zai_proxy
2,1786712403.2504678,411.6801221370697,1,,zai_proxy
3,1786712406.6109433,3.360475540161133,2,,zai_proxy
4,1786712496.3348837,89.72394037246704,1,,zai_proxy
5,1786712989.542541,493.2076573371887,1,,zai_proxy
6,1786713029.4019787,39.859437704086304,1,,zai_proxy
7,1786713140.839494,111.43751525878906,1,,zai_proxy
8,1786713206.8731132,66.03361916542053,1,,zai_proxy
9,1786713457.3353586,250.46224546432495,1,,zai_proxy
10,1786713510.9902935,53.654934883117676,1,,zai_proxy
11,1786713569.5219164,58.531622886657715,1,,zai_proxy
12,1786713693.9718206,124.44990420341492,1,,zai_proxy
13,1786713950.0660858,256.09426522254944,1,,zai_proxy
14,1786713983.292906,33.22682023048401,1,,zai_proxy
15,1786714247.6076381,,1,,zai_proxy
16,1786714345.5864394,97.97880125045776,1,,zai_proxy
17,1786714380.3436472,34.7572078704834,1,,zai_proxy
18,1786714642.0290577,261.68541049957275,1,,zai_proxy
19,1786714787.47653,145.44747233390808,1,,zai_proxy
20,1786715050.8405845,263.364054441452,1,,zai_proxy
21,1786715080.0686083,29.228023767471313,1,,zai_proxy
22,1786715122.236626,42.168017625808716,1,,zai_proxy
23,1786715596.1971931,473.96056723594666,1,,zai_proxy
24,1786715637.1556273,40.958434104919434,1,,zai_proxy
25,1786715732.5674617,95.4118344783783,1,,zai_proxy
26,1786715818.080571,85.51310920715332,1,,zai_proxy
27,1786715847.9169261,29.836355209350586,1,,zai_proxy
28,1786715897.2124922,49.29556608200073,1,,zai_proxy
29,1786716006.5700767,109.35758447647095,1,,zai_proxy
30,1786716007.2900484,0.7199716567993164,2,,zai_proxy
31,1786716011.3024046,4.012356281280518,3,,zai_proxy
32,1786716020.2152295,8.912824869155884,1,,zai_proxy
33,1786716020.5877323,0.37250280380249023,2,,zai_proxy
34,1786716112.0953157,91.50758337974548,1,,zai_proxy
35,1786716129.1292663,17.033950567245483,1,,zai_proxy
36,1786716129.2713165,0.14205026626586914,2,,zai_proxy
